	token	pos	lemma	text	year	suffix
211	entendimento	NOM	entendimento	aires1752.txt	1752	mento
212	entendimento	NOM	entendimento	aires1752.txt	1752	mento
213	entendimento	NOM	entendimento	aires1752.txt	1752	mento
214	divertimento	NOM	divertimento	aires1752.txt	1752	mento
215	merecimento	NOM	merecimento	aires1752.txt	1752	mento
216	encarecimento	NOM	encarecimento	aires1752.txt	1752	mento
217	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
218	abatimento	NOM	abatimento	aires1752.txt	1752	mento
219	merecimento	NOM	merecimento	aires1752.txt	1752	mento
220	pensamento	NOM	pensamento	aires1752.txt	1752	mento
221	movimento	NOM	movimento	aires1752.txt	1752	mento
222	pensamento	NOM	pensamento	aires1752.txt	1752	mento
223	pensamento	NOM	pensamento	aires1752.txt	1752	mento
224	conhecimento	NOM	conhecimento	aires1752.txt	1752	mento
225	movimento	NOM	movimento	aires1752.txt	1752	mento
226	desvanecimento	NOM	desvanecimento	aires1752.txt	1752	mento
227	contentamento	NOM	contentamento	aires1752.txt	1752	mento
228	movimento	NOM	movimento	aires1752.txt	1752	mento
229	movimento	NOM	movimento	aires1752.txt	1752	mento
230	movimento	NOM	movimento	aires1752.txt	1752	mento
236	movimento	NOM	movimento	aires1752.txt	1752	mento
237	vencimento	NOM	vencimento	aires1752.txt	1752	mento
238	merecimento	NOM	merecimento	aires1752.txt	1752	mento
241	divertimento	NOM	divertimento	aires1752.txt	1752	mento
242	merecimento	NOM	merecimento	aires1752.txt	1752	mento
244	pensamento	NOM	pensamento	aires1752.txt	1752	mento
245	movimento	NOM	movimento	aires1752.txt	1752	mento
246	movimento	NOM	movimento	aires1752.txt	1752	mento
248	merecimento	NOM	merecimento	aires1752.txt	1752	mento
249	merecimento	NOM	merecimento	aires1752.txt	1752	mento
250	luzimento	NOM	luzimento	aires1752.txt	1752	mento
252	sentimento	NOM	sentimento	alencar1857.txt	1857	mento
253	reconhecimento	NOM	reconhecimento	alencar1857.txt	1857	mento
